Ceiling type,Deck construction,Attic ventilation,Attic fan,Radiant barrier,Roofing material,Roof color,Insulation,R-value,Extended Construction Numbers,Look-Up Construction Number,Notes
Ceiling below roof joists,,,,,Membrane,Dark,Blanket or loose fill,R-38,18A-38 zd,18A-38,
Ceiling below roof joists,,,,,Membrane,Dark,Board insulation,R-2,18A-2 zd,18A-2,
Ceiling below roof joists,,,,,Membrane,Dark,Board insulation,R-3,18A-3 zd,18A-3,
Ceiling below roof joists,,,,,Membrane,Dark,Board insulation,R-4,18A-4 zd,18A-4,
Ceiling below roof joists,,,,,Membrane,Dark,Board insulation,R-5,18A-5 zd,18A-5,
Ceiling below roof joists,,,,,Membrane,Dark,Board insulation,R-6,18A-6 zd,18A-6,
Ceiling below roof joists,,,,,Membrane,Dark,Board insulation,R-8,18A-8 zd,18A-8,
Ceiling below roof joists,,,,,Membrane,Dark,Board insulation,R-10,18A-10 zd,18A-10,
Ceiling below roof joists,,,,,Membrane,Light,None,,18B-0 zl,18B-0,
Ceiling below roof joists,,,,,Membrane,Light,Blanket or loose fill,R-11,18B-11 zl,18B-11,
Ceiling below roof joists,,,,,Membrane,Light,Blanket or loose fill,R-13,18B-13 zl,18B-13,
Ceiling below roof joists,,,,,Membrane,Light,Blanket or loose fill,R-15,18B-15 zl,18B-15,
Ceiling below roof joists,,,,,Membrane,Light,Blanket or loose fill,R-19,18B-19 zl,18B-19,
Ceiling below roof joists,,,,,Membrane,Light,Blanket or loose fill,R-21,18B-21 zl,18B-21,
Ceiling below roof joists,,,,,Membrane,Light,Blanket or loose fill,R-30,18B-30 zl,18B-30,
Ceiling below roof joists,,,,,Membrane,Light,Blanket or loose fill,R-38,18B-38 zl,18B-38,
Ceiling below roof joists,,,,,Membrane,Light,Board insulation,R-2,18B-2 zl,18B-2,
Ceiling below roof joists,,,,,Membrane,Light,Board insulation,R-3,18B-3 zl,18B-3,
Ceiling below roof joists,,,,,Membrane,Light,Board insulation,R-4,18B-4 zl,18B-4,
Ceiling below roof joists,,,,,Membrane,Light,Board insulation,R-5,18B-5 zl,18B-5,
Ceiling below roof joists,,,,,Membrane,Light,Board insulation,R-6,18B-6 zl,18B-6,
Ceiling below roof joists,,,,,Membrane,Light,Board insulation,R-8,18B-8 zl,18B-8,
Ceiling below roof joists,,,,,Membrane,Light,Board insulation,R-10,18B-10 zl,18B-10,
Ceiling below roof joists,,,,,Membrane,White,None,,18C-0 zw,18C-0,
Ceiling below roof joists,,,,,Membrane,White,Blanket or loose fill,R-11,18C-11 zw,18C-11,
Ceiling below roof joists,,,,,Membrane,White,Blanket or loose fill,R-13,18C-13 zw,18C-13,
Ceiling below roof joists,,,,,Membrane,White,Blanket or loose fill,R-15,18C-15 zw,18C-15,
Ceiling below roof joists,,,,,Membrane,White,Blanket or loose fill,R-19,18C-19 zw,18C-19,
Ceiling below roof joists,,,,,Membrane,White,Blanket or loose fill,R-21,18C-21 zw,18C-21,
Ceiling below roof joists,,,,,Membrane,White,Blanket or loose fill,R-30,18C-30 zw,18C-30,
Ceiling below roof joists,,,,,Membrane,White,Blanket or loose fill,R-38,18C-38 zw,18C-38,
Ceiling below roof joists,,,,,Membrane,White,Board insulation,R-2,18C-2 zw,18C-2,
Ceiling below roof joists,,,,,Membrane,White,Board insulation,R-3,18C-3 zw,18C-3,
Ceiling below roof joists,,,,,Membrane,White,Board insulation,R-4,18C-4 zw,18C-4,
Ceiling below roof joists,,,,,Membrane,White,Board insulation,R-5,18C-5 zw,18C-5,
Ceiling below roof joists,,,,,Membrane,White,Board insulation,R-6,18C-6 zw,18C-6,
Ceiling below roof joists,,,,,Membrane,White,Board insulation,R-8,18C-8 zw,18C-8,
Ceiling below roof joists,,,,,Membrane,White,Board insulation,R-10,18C-10 zw,18C-10,
Ceiling below roof joists,,,,,Metal,Dark,None,,18A-0 md,18A-0,
