Ceiling type,Deck construction,Attic ventilation,Attic fan,Radiant barrier,Roofing material,Roof color,Insulation,R-value,Extended Construction Numbers,Look-Up Construction Number,Notes
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-21 to R-23,17A-22 ad,17A-22,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-24 to R-26,17A-25 ad,17A-25,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-27 to R-29,17A-28 ad,17A-28,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-30 to R-32,17A-31 ad,17A-31,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-33 to R-35,17A-34 ad,17A-34,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,None,17B-0 al,17B-0,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-2,17B-2 al,17B-2,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-3,17B-3 al,17B-3,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-4,17B-4 al,17B-4,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-5,17B-5 al,17B-5,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-6,17B-6 al,17B-6,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-7,17B-7 al,17B-7,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-10,17B-10 al,17B-10,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-12,17B-12 al,17B-12,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-15,17B-15 al,17B-15,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-17 or 18,17B-17 al,17B-17,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-20,17B-20 al,17B-20,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-21 to R-23,17B-22 al,17B-22,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-24 to R-26,17B-25 al,17B-25,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-27 to R-29,17B-28 al,17B-28,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-30 to R-32,17B-31 al,17B-31,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-33 to R-35,17B-34 al,17B-34,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,None,17B-0 aw,17B-0,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-2,17B-2 aw,17B-2,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-3,17B-3 aw,17B-3,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-4,17B-4 aw,17B-4,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-5,17B-5 aw,17B-5,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-6,17B-6 aw,17B-6,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-7,17B-7 aw,17B-7,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-10,17B-10 aw,17B-10,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-12,17B-12 aw,17B-12,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-15,17B-15 aw,17B-15,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-17 or 18,17B-17 aw,17B-17,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-20,17B-20 aw,17B-20,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-21 to R-23,17B-22 aw,17B-22,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-24 to R-26,17B-25 aw,17B-25,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-27 to R-29,17B-28 aw,17B-28,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-30 to R-32,17B-31 aw,17B-31,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-33 to R-35,17B-34 aw,17B-34,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,None,17A-0 zd,17A-0,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-2,17A-2 zd,17A-2,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-3,17A-3 zd,17A-3,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-4,17A-4 zd,17A-4,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-5,17A-5 zd,17A-5,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-6,17A-6 zd,17A-6,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-7,17A-7 zd,17A-7,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-10,17A-10 zd,17A-10,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-12,17A-12 zd,17A-12,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-15,17A-15 zd,17A-15,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-17 or 18,17A-17 zd,17A-17,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-20,17A-20 zd,17A-20,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-21 to R-23,17A-22 zd,17A-22,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-24 to R-26,17A-25 zd,17A-25,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-27 to R-29,17A-28 zd,17A-28,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-30 to R-32,17A-31 zd,17A-31,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-33 to R-35,17A-34 zd,17A-34,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,None,17B-0 zl,17B-0,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-2,17B-2 zl,17B-2,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-3,17B-3 zl,17B-3,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-4,17B-4 zl,17B-4,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-5,17B-5 zl,17B-5,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-6,17B-6 zl,17B-6,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-7,17B-7 zl,17B-7,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-10,17B-10 zl,17B-10,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-12,17B-12 zl,17B-12,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-15,17B-15 zl,17B-15,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-17 or 18,17B-17 zl,17B-17,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-20,17B-20 zl,17B-20,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-21 to R-23,17B-22 zl,17B-22,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-24 to R-26,17B-25 zl,17B-25,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-27 to R-29,17B-28 zl,17B-28,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-30 to R-32,17B-31 zl,17B-31,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-33 to R-35,17B-34 zl,17B-34,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,None,17C-0 zw,17C-0,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-2,17C-2 zw,17C-2,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-3,17C-3 zw,17C-3,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-4,17C-4 zw,17C-4,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-5,17C-5 zw,17C-5,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-6,17C-6 zw,17C-6,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-7,17C-7 zw,17C-7,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-10,17C-10 zw,17C-10,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-12,17C-12 zw,17C-12,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-15,17C-15 zw,17C-15,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-17 or 18,17C-17 zw,17C-17,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-20,17C-20 zw,17C-20,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-21 to R-23,17C-22 zw,17C-22,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-24 to R-26,17C-25 zw,17C-25,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-27 to R-29,17C-28 zw,17C-28,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-30 to R-32,17C-31 zw,17C-31,
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-33 to R-35,17C-34 zw,17C-34,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,None,17A-0 md,17A-0,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-2,17A-2 md,17A-2,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-3,17A-3 md,17A-3,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-4,17A-4 md,17A-4,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-5,17A-5 md,17A-5,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-6,17A-6 md,17A-6,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-7,17A-7 md,17A-7,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-10,17A-10 md,17A-10,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-12,17A-12 md,17A-12,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-15,17A-15 md,17A-15,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-17 or 18,17A-17 md,17A-17,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-20,17A-20 md,17A-20,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-21 to R-23,17A-22 md,17A-22,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-24 to R-26,17A-25 md,17A-25,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-27 to R-29,17A-28 md,17A-28,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-30 to R-32,17A-31 md,17A-31,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-33 to R-35,17A-34 md,17A-34,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,None,17B-0 ml,17B-0,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-2,17B-2 ml,17B-2,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-3,17B-3 ml,17B-3,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-4,17B-4 ml,17B-4,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-5,17B-5 ml,17B-5,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-6,17B-6 ml,17B-6,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-7,17B-7 ml,17B-7,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-10,17B-10 ml,17B-10,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-12,17B-12 ml,17B-12,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-15,17B-15 ml,17B-15,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-17 or 18,17B-17 ml,17B-17,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-20,17B-20 ml,17B-20,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-21 to R-23,17B-22 ml,17B-22,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-24 to R-26,17B-25 ml,17B-25,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-27 to R-29,17B-28 ml,17B-28,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-30 to R-32,17B-31 ml,17B-31,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-33 to R-35,17B-34 ml,17B-34,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,None,17C-0 mw,17C-0,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-2,17C-2 mw,17C-2,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-3,17C-3 mw,17C-3,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-4,17C-4 mw,17C-4,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-5,17C-5 mw,17C-5,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-6,17C-6 mw,17C-6,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-7,17C-7 mw,17C-7,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-10,17C-10 mw,17C-10,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-12,17C-12 mw,17C-12,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-15,17C-15 mw,17C-15,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-17 or 18,17C-17 mw,17C-17,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-20,17C-20 mw,17C-20,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-21 to R-23,17C-22 mw,17C-22,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-24 to R-26,17C-25 mw,17C-25,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-27 to R-29,17C-28 mw,17C-28,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-30 to R-32,17C-31 mw,17C-31,
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-33 to R-35,17C-34 mw,17C-34,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,None,17B-0 xd,17B-0,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-2,17B-2 xd,17B-2,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-3,17B-3 xd,17B-3,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-4,17B-4 xd,17B-4,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-5,17B-5 xd,17B-5,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-6,17B-6 xd,17B-6,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-7,17B-7 xd,17B-7,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-10,17B-10 xd,17B-10,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-12,17B-12 xd,17B-12,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-15,17B-15 xd,17B-15,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-17 or 18,17B-17 xd,17B-17,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-20,17B-20 xd,17B-20,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-21 to R-23,17B-22 xd,17B-22,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-24 to R-26,17B-25 xd,17B-25,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-27 to R-29,17B-28 xd,17B-28,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-30 to R-32,17B-31 xd,17B-31,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-33 to R-35,17B-34 xd,17B-34,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,None,17B-0 xl,17B-0,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-2,17B-2 xl,17B-2,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-3,17B-3 xl,17B-3,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-4,17B-4 xl,17B-4,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-5,17B-5 xl,17B-5,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-6,17B-6 xl,17B-6,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-7,17B-7 xl,17B-7,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-10,17B-10 xl,17B-10,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-12,17B-12 xl,17B-12,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-15,17B-15 xl,17B-15,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-17 or 18,17B-17 xl,17B-17,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-20,17B-20 xl,17B-20,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-21 to R-23,17B-22 xl,17B-22,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-24 to R-26,17B-25 xl,17B-25,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-27 to R-29,17B-28 xl,17B-28,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-30 to R-32,17B-31 xl,17B-31,
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-33 to R-35,17B-34 xl,17B-34,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,None,17A-0 td,17A-0,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-2,17A-2 td,17A-2,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-3,17A-3 td,17A-3,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-4,17A-4 td,17A-4,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-5,17A-5 td,17A-5,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-6,17A-6 td,17A-6,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-7,17A-7 td,17A-7,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-10,17A-10 td,17A-10,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-12,17A-12 td,17A-12,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-15,17A-15 td,17A-15,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-17 or 18,17A-17 td,17A-17,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-20,17A-20 td,17A-20,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-21 to R-23,17A-22 td,17A-22,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-24 to R-26,17A-25 td,17A-25,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-27 to R-29,17A-28 td,17A-28,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-30 to R-32,17A-31 td,17A-31,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-33 to R-35,17A-34 td,17A-34,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Light,,None,17C-0 wl,17C-0,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Light,,R-2,17C-2 wl,17C-2,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Light,,R-3,17C-3 wl,17C-3,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Light,,R-4,17C-4 wl,17C-4,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Light,,R-5,17C-5 wl,17C-5,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Light,,R-6,17C-6 wl,17C-6,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Light,,R-7,17C-7 wl,17C-7,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Light,,R-10,17C-10 wl,17C-10,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Light,,R-12,17C-12 wl,17C-12,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Light,,R-15,17C-15 wl,17C-15,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Light,,R-17 or 18,17C-17 wl,17C-17,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Light,,R-20,17C-20 wl,17C-20,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Light,,R-21 to R-23,17C-22 wl,17C-22,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Light,,R-24 to R-26,17C-25 wl,17C-25,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Light,,R-27 to R-29,17C-28 wl,17C-28,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Light,,R-30 to R-32,17C-31 wl,17C-31,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Light,,R-33 to R-35,17C-34 wl,17C-34,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,White,,None,17C-0 tw,17C-0,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,White,,R-2,17C-2 tw,17C-2,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,White,,R-3,17C-3 tw,17C-3,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,White,,R-4,17C-4 tw,17C-4,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,White,,R-5,17C-5 tw,17C-5,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,White,,R-6,17C-6 tw,17C-6,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,White,,R-7,17C-7 tw,17C-7,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,White,,R-10,17C-10 tw,17C-10,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,White,,R-12,17C-12 tw,17C-12,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,White,,R-15,17C-15 tw,17C-15,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,White,,R-17 or 18,17C-17 tw,17C-17,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,White,,R-20,17C-20 tw,17C-20,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,White,,R-21 to R-23,17C-22 tw,17C-22,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,White,,R-24 to R-26,17C-25 tw,17C-25,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,White,,R-27 to R-29,17C-28 tw,17C-28,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,White,,R-30 to R-32,17C-31 tw,17C-31,
Ceiling on exposed beams,"1.5"" wood",,,,Tile,White,,R-33 to R-35,17C-34 tw,17C-34,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Dark,,None,17B-0 wd,17B-0,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Dark,,R-2,17B-2 wd,17B-2,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Dark,,R-3,17B-3 wd,17B-3,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Dark,,R-4,17B-4 wd,17B-4,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Dark,,R-5,17B-5 wd,17B-5,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Dark,,R-6,17B-6 wd,17B-6,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Dark,,R-7,17B-7 wd,17B-7,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Dark,,R-10,17B-10 wd,17B-10,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Dark,,R-12,17B-12 wd,17B-12,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Dark,,R-15,17B-15 wd,17B-15,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Dark,,R-17 or 18,17B-17 wd,17B-17,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Dark,,R-20,17B-20 wd,17B-20,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Dark,,R-21 to R-23,17B-22 wd,17B-22,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Dark,,R-24 to R-26,17B-25 wd,17B-25,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Dark,,R-27 to R-29,17B-28 wd,17B-28,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Dark,,R-30 to R-32,17B-31 wd,17B-31,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Dark,,R-33 to R-35,17B-34 wd,17B-34,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Light,,None,17B-0 wl,17B-0,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Light,,R-2,17B-2 wl,17B-2,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Light,,R-3,17B-3 wl,17B-3,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Light,,R-4,17B-4 wl,17B-4,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Light,,R-5,17B-5 wl,17B-5,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Light,,R-6,17B-6 wl,17B-6,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Light,,R-7,17B-7 wl,17B-7,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Light,,R-10,17B-10 wl,17B-10,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Light,,R-12,17B-12 wl,17B-12,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Light,,R-15,17B-15 wl,17B-15,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Light,,R-17 or 18,17B-17 wl,17B-17,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Light,,R-20,17B-20 wl,17B-20,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Light,,R-21 to R-23,17B-22 wl,17B-22,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Light,,R-24 to R-26,17B-25 wl,17B-25,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Light,,R-27 to R-29,17B-28 wl,17B-28,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Light,,R-30 to R-32,17B-31 wl,17B-31,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,Light,,R-33 to R-35,17B-34 wl,17B-34,
